Evento,Bytes/s,Paquetes/s,Temp,Duración,Escenario
1,283,2,23.79,1.0,Normal
2,175,1,23.8,1.0,Normal
3,259,3,23.8,1.0,Normal
4,190,1,23.83,1.0,Normal
5,176,1,23.76,1.0,Normal
6,176,1,23.78,1.0,Normal
7,175,1,23.78,1.0,Normal
8,175,1,23.83,1.0,Normal
9,175,1,23.82,1.0,Normal
10,175,1,23.84,1.0,Normal
11,176,1,23.78,1.0,Normal
12,176,1,23.75,1.0,Normal
13,176,1,23.79,1.0,Normal
14,176,1,23.76,1.0,Normal
15,176,1,23.84,1.0,Normal
16,176,1,23.84,1.0,Normal
17,176,1,23.76,1.0,Normal
18,175,1,23.77,1.0,Normal
19,176,1,23.82,1.0,Normal
20,176,1,23.77,1.0,Normal
21,190,1,23.84,1.0,Normal
22,175,1,23.76,1.0,Normal
23,176,1,23.76,1.0,Normal
24,175,1,23.76,1.0,Normal
25,176,1,23.76,1.0,Normal
26,176,1,23.83,1.0,Normal
27,176,1,23.81,1.0,Normal
28,175,1,23.85,1.0,Normal
29,259,3,23.8,1.0,Normal
30,176,1,23.78,1.0,Normal
31,176,1,23.82,1.0,Normal
32,176,1,23.83,1.0,Normal
33,175,1,23.79,1.0,Normal
34,176,1,23.79,1.0,Normal
35,176,1,23.79,1.0,Normal
36,176,1,23.82,1.0,Normal
37,173,1,23.76,1.0,Normal
38,176,1,23.79,1.0,Normal
39,176,1,23.84,1.0,Normal
40,174,1,23.82,1.0,Normal
41,176,1,23.75,1.0,Normal
42,176,1,23.78,1.0,Normal
43,176,1,23.76,1.0,Normal
44,175,1,23.83,1.0,Normal
45,175,1,23.82,1.0,Normal
46,175,1,23.82,1.0,Normal
47,176,1,23.83,1.0,Normal
48,176,1,23.81,1.0,Normal
49,175,1,23.8,1.0,Normal
50,176,1,23.85,1.0,Normal
51,174,1,23.8,1.0,Normal
52,176,1,23.75,1.0,Normal
53,189,1,23.79,1.0,Normal
54,176,1,23.77,1.0,Normal
55,260,3,23.83,1.0,Normal
56,176,1,23.83,1.0,Normal
57,176,1,23.85,1.0,Normal
58,175,1,23.8,1.0,Normal
59,190,1,23.85,1.0,Normal
60,175,1,23.77,1.0,Normal
61,176,1,23.77,1.0,Normal
62,176,1,23.78,1.0,Normal
63,176,1,23.77,1.0,Normal
64,175,1,23.8,1.0,Normal
65,176,1,23.81,1.0,Normal
66,176,1,23.77,1.0,Normal
67,175,1,23.76,1.0,Normal
68,176,1,23.79,1.0,Normal
69,176,1,23.84,1.0,Normal
70,176,1,23.85,1.0,Normal
71,175,1,23.82,1.0,Normal
72,175,1,23.85,1.0,Normal
73,175,1,23.8,1.0,Normal
74,176,1,23.83,1.0,Normal
75,190,1,23.76,1.0,Normal
76,176,1,23.82,1.0,Normal
77,176,1,23.82,1.0,Normal
78,175,1,23.75,1.0,Normal
79,175,1,23.84,1.0,Normal
80,175,1,23.84,1.0,Normal
81,260,3,23.85,1.0,Normal
82,176,1,23.84,1.0,Normal
83,176,1,23.76,1.0,Normal
84,176,1,23.84,1.0,Normal
85,190,1,23.76,1.0,Normal
86,176,1,23.83,1.0,Normal
87,176,1,23.76,1.0,Normal
88,176,1,23.82,1.0,Normal
89,176,1,23.81,1.0,Normal
90,176,1,23.81,1.0,Normal
91,176,1,23.81,1.0,Normal
92,176,1,23.82,1.0,Normal
98,5950,36,23.76,1.0,Normal
99,16256,93,23.84,1.0,Estrés
100,16662,95,23.84,1.0,Estrés
101,16249,92,23.79,1.0,Estrés
102,16375,93,23.82,1.0,Estrés
103,16218,92,23.75,1.0,Estrés
104,16191,92,23.78,1.0,Estrés
105,16224,92,23.85,1.0,Estrés
106,16184,92,23.8,1.0,Estrés
107,16284,92,23.83,1.0,Estrés
108,16157,92,23.8,1.0,Estrés
109,16161,92,23.78,1.0,Estrés
110,16257,92,23.77,1.0,Estrés
111,16174,92,23.81,1.0,Estrés
