Evento,Escenario,Bytes/s,Paquetes/s,Temp,Duración,Cluster_k2,Cluster_k3
1,Normal,-0.156511208425471,-0.0864078293349544,-0.383547515529047,0.0,0,0
2,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
3,Normal,-0.1565761750761873,-0.0862070841576565,-0.0421902267083382,0.0,0,0
4,Normal,-0.1567629541969965,-0.0866085745122523,0.9818816397535454,0.0,0,2
5,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
6,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
7,Normal,-0.1568035583536942,-0.0866085745122523,-0.7249048043496344,0.0,0,0
8,Normal,-0.1568035583536942,-0.0866085745122523,0.9818816397535454,0.0,0,2
9,Normal,-0.1568035583536942,-0.0866085745122523,0.6405243509329579,0.0,0,2
10,Normal,-0.1568035583536942,-0.0866085745122523,1.323238928574254,0.0,0,2
11,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
12,Normal,-0.1568008514099144,-0.0866085745122523,-1.7489766708116394,0.0,0,0
13,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
14,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
15,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
16,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
17,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
18,Normal,-0.1568035583536942,-0.0866085745122523,-1.0662620931703433,0.0,0,0
19,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
20,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
21,Normal,-0.1567629541969965,-0.0866085745122523,1.323238928574254,0.0,0,2
22,Normal,-0.1568035583536942,-0.0866085745122523,-1.4076193819909306,0.0,0,0
23,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
24,Normal,-0.1568035583536942,-0.0866085745122523,-1.4076193819909306,0.0,0,0
25,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
26,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
27,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
28,Normal,-0.1568035583536942,-0.0866085745122523,1.6645962173949629,0.0,0,2
29,Normal,-0.1565761750761873,-0.0862070841576565,-0.0421902267083382,0.0,0,0
30,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
31,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
32,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
33,Normal,-0.1568035583536942,-0.0866085745122523,-0.383547515529047,0.0,0,0
34,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
35,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
