Evento,Escenario,z,sigma(z),Clasificación
1,Normal,-2.6072975944010635,0.06867023375449702,Normal
2,Normal,-2.6085303321648663,0.06859143637138194,Normal
3,Normal,-2.6069581480846096,0.06869194609777171,Normal
4,Normal,-2.608428821773122,0.0685979218143832,Normal
5,Normal,-2.6085235648054166,0.06859186871657708,Normal
6,Normal,-2.6085235648054166,0.06859186871657708,Normal
7,Normal,-2.6085303321648663,0.06859143637138194,Normal
8,Normal,-2.6085303321648663,0.06859143637138194,Normal
9,Normal,-2.6085303321648663,0.06859143637138194,Normal
10,Normal,-2.6085303321648663,0.06859143637138194,Normal
11,Normal,-2.6085235648054166,0.06859186871657708,Normal
12,Normal,-2.6085235648054166,0.06859186871657708,Normal
13,Normal,-2.6085235648054166,0.06859186871657708,Normal
14,Normal,-2.6085235648054166,0.06859186871657708,Normal
15,Normal,-2.6085235648054166,0.06859186871657708,Normal
16,Normal,-2.6085235648054166,0.06859186871657708,Normal
17,Normal,-2.6085235648054166,0.06859186871657708,Normal
18,Normal,-2.6085303321648663,0.06859143637138194,Normal
19,Normal,-2.6085235648054166,0.06859186871657708,Normal
20,Normal,-2.6085235648054166,0.06859186871657708,Normal
21,Normal,-2.608428821773122,0.0685979218143832,Normal
22,Normal,-2.6085303321648663,0.06859143637138194,Normal
23,Normal,-2.6085235648054166,0.06859186871657708,Normal
24,Normal,-2.6085303321648663,0.06859143637138194,Normal
25,Normal,-2.6085235648054166,0.06859186871657708,Normal
26,Normal,-2.6085235648054166,0.06859186871657708,Normal
27,Normal,-2.6085235648054166,0.06859186871657708,Normal
28,Normal,-2.6085303321648663,0.06859143637138194,Normal
29,Normal,-2.6069581480846096,0.06869194609777171,Normal
30,Normal,-2.6085235648054166,0.06859186871657708,Normal
31,Normal,-2.6085235648054166,0.06859186871657708,Normal
32,Normal,-2.6085235648054166,0.06859186871657708,Normal
33,Normal,-2.6085303321648663,0.06859143637138194,Normal
34,Normal,-2.6085235648054166,0.06859186871657708,Normal
35,Normal,-2.6085235648054166,0.06859186871657708,Normal
36,Normal,-2.6085235648054166,0.06859186871657708,Normal
37,Normal,-2.6085438668837657,0.06859057168856504,Normal
38,Normal,-2.6085235648054166,0.06859186871657708,Normal
39,Normal,-2.6085235648054166,0.06859186871657708,Normal
40,Normal,-2.608537099524316,0.06859100402871128,Normal
41,Normal,-2.6085235648054166,0.06859186871657708,Normal
42,Normal,-2.6085235648054166,0.06859186871657708,Normal
43,Normal,-2.6085235648054166,0.06859186871657708,Normal
44,Normal,-2.6085303321648663,0.06859143637138194,Normal
45,Normal,-2.6085303321648663,0.06859143637138194,Normal
46,Normal,-2.6085303321648663,0.06859143637138194,Normal
47,Normal,-2.6085235648054166,0.06859186871657708,Normal
48,Normal,-2.6085235648054166,0.06859186871657708,Normal
49,Normal,-2.6085303321648663,0.06859143637138194,Normal
50,Normal,-2.6085235648054166,0.06859186871657708,Normal
51,Normal,-2.608537099524316,0.06859100402871128,Normal
52,Normal,-2.6085235648054166,0.06859186871657708,Normal
53,Normal,-2.6084355891325717,0.06859748943384444,Normal
54,Normal,-2.6085235648054166,0.06859186871657708,Normal
55,Normal,-2.60695138072516,0.06869237902977555,Normal
56,Normal,-2.6085235648054166,0.06859186871657708,Normal
57,Normal,-2.6085235648054166,0.06859186871657708,Normal
58,Normal,-2.6085303321648663,0.06859143637138194,Normal
59,Normal,-2.608428821773122,0.0685979218143832,Normal
60,Normal,-2.6085303321648663,0.06859143637138194,Normal
61,Normal,-2.6085235648054166,0.06859186871657708,Normal
62,Normal,-2.6085235648054166,0.06859186871657708,Normal
63,Normal,-2.6085235648054166,0.06859186871657708,Normal
64,Normal,-2.6085303321648663,0.06859143637138194,Normal
65,Normal,-2.6085235648054166,0.06859186871657708,Normal
66,Normal,-2.6085235648054166,0.06859186871657708,Normal
67,Normal,-2.6085303321648663,0.06859143637138194,Normal
68,Normal,-2.6085235648054166,0.06859186871657708,Normal
69,Normal,-2.6085235648054166,0.06859186871657708,Normal
70,Normal,-2.6085235648054166,0.06859186871657708,Normal
71,Normal,-2.6085303321648663,0.06859143637138194,Normal
72,Normal,-2.6085303321648663,0.06859143637138194,Normal
73,Normal,-2.6085303321648663,0.06859143637138194,Normal
74,Normal,-2.6085235648054166,0.06859186871657708,Normal
75,Normal,-2.608428821773122,0.0685979218143832,Normal
76,Normal,-2.6085235648054166,0.06859186871657708,Normal
77,Normal,-2.6085235648054166,0.06859186871657708,Normal
78,Normal,-2.6085303321648663,0.06859143637138194,Normal
79,Normal,-2.6085303321648663,0.06859143637138194,Normal
80,Normal,-2.6085303321648663,0.06859143637138194,Normal
81,Normal,-2.60695138072516,0.06869237902977555,Normal
82,Normal,-2.6085235648054166,0.06859186871657708,Normal
83,Normal,-2.6085235648054166,0.06859186871657708,Normal
84,Normal,-2.6085235648054166,0.06859186871657708,Normal
85,Normal,-2.608428821773122,0.0685979218143832,Normal
86,Normal,-2.6085235648054166,0.06859186871657708,Normal
87,Normal,-2.6085235648054166,0.06859186871657708,Normal
88,Normal,-2.6085235648054166,0.06859186871657708,Normal
89,Normal,-2.6085235648054166,0.06859186871657708,Normal
90,Normal,-2.6085235648054166,0.06859186871657708,Normal
91,Normal,-2.6085235648054166,0.06859186871657708,Normal
92,Normal,-2.6085235648054166,0.06859186871657708,Normal
98,Normal,-2.551883628329796,0.072300043407103,Normal
99,Estrés,-2.4535330340771524,0.07918056882500854,Normal
100,Estrés,-2.449781760254121,0.07945451009941885,Normal
101,Estrés,-2.4540822685365447,0.07914053284231896,Normal
102,Estrés,-2.452727718302649,0.0792393051106674,Normal
103,Estrés,-2.4542920566794826,0.07912524539682664,Normal
104,Estrés,-2.454474775384622,0.07911193272433184,Normal
105,Estrés,-2.4542514525227848,0.07912820404656491,Normal
106,Estrés,-2.454522146900769,0.07910848162495099,Normal
107,Estrés,-2.4538454109558083,0.07915779610618275,Normal
108,Estrés,-2.4547048656059087,0.07909517153067482,Normal
109,Estrés,-2.4546777961681103,0.0790971432673135,Normal
110,Estrés,-2.454028129660948,0.07914447842777818,Normal
111,Estrés,-2.4545898204952654,0.0791035517216974,Normal
112,Estrés,-2.4544341712279243,0.07911489091904918,Normal
113,Estrés,-2.4544612406657227,0.07911291877800324,Normal
114,Estrés,-2.456086485277603,0.07899459406704383,Normal
115,Estrés,-2.4528224613349434,0.079232392893123,Normal
116,Estrés,-2.454271754601134,0.0791267247090555,Normal
117,Estrés,-2.454197313647188,0.079132149070186,Normal
118,Estrés,-2.4524367218463157,0.07926053893918945,Normal
119,Estrés,-2.4559782075264094,0.07900247211419874,Normal
120,Estrés,-2.452842763413292,0.07923091177534787,Normal
121,Estrés,-2.45416347684994,0.07913461480124395,Normal
122,Estrés,-2.453865713034157,0.07915631626299162,Normal
123,Estrés,-2.454244685163335,0.07912869716468598,Normal
124,Estrés,-2.4546236572925135,0.07910108687538436,Normal
125,Estrés,-2.454149942131041,0.07913560111333105,Normal
126,Estrés,-2.4524434892057654,0.07926004507016755,Normal
127,Estrés,-2.4545830531358157,0.079104044699385,Normal
128,Estrés,-2.4542243830849864,0.07913017653590321,Normal
129,Estrés,-2.4542920566794826,0.07912524539682664,Normal
130,Estrés,-2.454319126117281,0.07912327301984606,Normal
131,Estrés,-2.454440938587374,0.07911439787957476,Normal
132,Estrés,-2.45416347684994,0.07913461480124395,Normal
133,Estrés,-2.454244685163335,0.07912869716468598,Normal
134,Estrés,-2.454244685163335,0.07912869716468598,Normal
135,Estrés,-2.4543258934767307,0.07912277993262307,Normal
136,Estrés,-2.4540484317392965,0.07914299881216082,Normal
137,Estrés,-2.454386799711777,0.0791183422740126,Normal
138,Estrés,-2.4540541207547726,0.07914258420120691,Normal
139,Estrés,-2.454522146900769,0.07910848162495099,Normal
140,Estrés,-2.454278521960583,0.07912623160217032,Normal
141,Estrés,-2.454407101790126,0.07911686310503331,Normal
142,Estrés,-2.45415670949049,0.07913510795588294,Normal
143,Estrés,-2.452429954486866,0.07926103281102376,Normal
144,Estrés,-2.45416347684994,0.07913461480124395,Normal
145,Estrés,-2.454373264992878,0.07911932840070908,Normal
146,Estrés,-2.4545492163385676,0.0791065096299486,Normal
147,Estrés,-2.4559443707291613,0.07900493415123347,Normal
148,Estrés,-2.454278521960583,0.07912623160217032,Normal
149,Estrés,-2.45416347684994,0.07913461480124395,Normal
